1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
																										Biodome, a Biodome Wall	Biodome, a Biodome Wall	(29,16) Cropland, a Grassland	(30,16) Pie Street, a Mansion	(31,16) Sun Street Court, a House	(32,16) Sun Street, a House	(33,16) Krueger Street, a House	(34,16) Club Rustie, a Country Club	(35,16) Tiger Place, a Mansion	(36,16) 21 Rooms, a Chateau	(37,16) Choral Forest, a Forest	(38, 16) Choral Forest, a Forest	(39, 16) Choral Forest, a Forest	(40, 16) Choral Forest, a Forest	(41, 16) The Quickway, a Bridge	(42, 16) Choral Forest, a Forest	Choral Forest, a Forest	(44, 16) Greener Pastures, a Golf Course	(45, 16) Greener Pastures, a Golf Course	(46, 16) Greener Pastures Country Club, a Country Club	(47, 16) Fair Chase, a Gun Store	(48, 16) Kingsley's Market, a Supermarket	(49, 16) Gandab Point Spur, a House	(50, 16) High Proctor Spur, a House	(51, 16) Paphiopedilum Estate, a Chateau	(52, 16) Coombs Alley, a Mansion	Forest	Forest	Forest	The Quickway, a Bridge	Grassland	Cropland	Biodome, a Biodome Wall	Cropland	Cropland	an Orchard	an Orchard	Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall				
																									Biodome, a Biodome Wall	Biodome, a Biodome Wall	(28,17) Cropland, a Grassland	(29,17) Ce Metary, a Cemetery	(30,17) Lorenzo Lane, a House	(31,17) Entire Foods Market, a Supermarket	(32,17) Patience Plaza, a Mansion	(33,17) Red October, a Sporting Goods Store	(34,17) The Rustle, a Golf Course	(35,17) Choral Forest, a Forest	(36,17) Choral Forest, a Forest	(37,17) Choral Forest, a Forest	(38,17) Choral Forest, a Forest	Choral Forest, a Forest	(40, 17) The Quickway, a Bridge	(41, 17) 🅿️ (to North Centrum 41,26) Choral Forest Transporter, a Transporter	(42, 17) The Quickway, a Bridge	(43, 17) Buttonquail Timber, a Lumberyard	Choral Forest, a Forest	(45, 17) Greener Pastures, a Golf Course	(46, 17) Greener Pastures, a Golf Course	(47, 17) Greener Pastures, a Golf Course	Choral Forest, a Forest	(49, 17) Muir Way, a Mansion	(50, 17) Plaza Pinchot, a Mansion	(51, 17) Henry Wilson Circle, a House	(52, 17) Wobbuffet Way, a House	Mansion	Forest	The Quickway, a Bridge	Grassland	Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall						
																								Biodome, a Biodome Wall	Biodome, a Biodome Wall	(27,18) Cropland, a Grassland	(28,18) Ce Metary, a Cemetery	(29,18) Ramble Road, a House	(30,18) Chateau Carignano, a Chateau	(31,18) St. Mary Street, a Mansion	(32,18) The Rustle, a Golf Course	(33,18) The Rustle, a Golf Course	(34,18) The Rustle, a Golf Course	(35,18) Choral Forest, a Forest	(36,18) Choral Forest, a Forest	(37,18) Choral Forest, a Forest	(38,18) Riker's Mill, a Saw Mill	(39, 18) The Quickway, a Bridge	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(43, 18) The Quickway, a Bridge	(44, 18) Kajang Wood Products, a Saw Mill	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(51, 18) Ossett Cove, a Mansion	(52,18) Pheasant Hills Hydropower, a Power Plant 🅿️ (to Outer Centrum)	(53, 18) Silverstone Mosque, a Mosque	The Quickway, a Bridge	Grassland	Mountain	Biodome, a Biodome Wall	Biodome, a Biodome Wall													
																							Biodome, a Biodome Wall	Biodome, a Biodome Wall	(26,19) Cropland, a Cropland	(27,19) Metarest, a Mausoleum	(28,19) Monocerous Street, a House	(29,19) Clybourne Street, a Mansion	(30,18) Williams Chateau, a Chateau	(31,19) Upper Panacea, a Lake	(32,19) The Rustle, a Golf Course	(33,19) The Quickway, a Bridge	(34,19) The Quickway, a Bridge	(35,19) The Quickway, a Bridge	(36,19) The Quickway, a Bridge	(37,19) The Quickway, a Bridge	(38,19) The Quickway, a Bridge	(39, 19) Skye Silviculture, a Lumberyard	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(44, 19) The Quickway, a Bridge	(45, 19) The Quickway, a Bridge	(46, 19) The Quickway, a Bridge	(47, 19) The Quickway, a Bridge	(48, 19) The Quickway, a Bridge	(49, 19) The Quickway, a Bridge	Choral Forest, a Forest	Lake	Bakery	The Quickway, a Bridge	Bar	a House	Mountain	Biodome, a Biodome Wall	Biodome, a Biodome Wall													
																							Biodome, a Biodome Wall	(25,20) Cropland, a Grassland	(26,20) Mosque of Meta, a Mosque	(27,20) George Lane, a House	(28,20) Pump and Scoot, a Gas Station	(29,20) Terrior Technical Institute, a School	(30,20) Upper Panacea, a Lake	(31,20) Upper Panacea, a Lake	(32,20) The Quickway, a Bridge	(33,20) Choral Forest, a Forest	(34,20) Choral Forest, a Forest	(35,20) Choral Forest, a Forest	(36,20) Choral Forest, a Forest	(37,20) Choral Forest, a Forest	(38,20) Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(46, 20) Pretty Great Outdoors, a Sporting Goods Store	(47, 20) Hackmatack Grove, a Forest	(48, 20) Pyrnelle Lodge, a Lodge	(49, 20) Hackmatack Grove Ranger Station, a Ranger Station	(50, 20) The Quickway, a Bridge	Lake	The Quickway, a Bridge	Gas Station	a House	Corner Store	a House	(57, 20) Cropland, a Cropland	Biodome, a Biodome Wall													
																						Biodome, a Biodome Wall	Biodome, a Biodome Wall	(25,21) Cropland, a Grassland	(26,21) Granville Extension, an Apartment Building	(27,21) Dome Security West Precinct, a Police Station	(28,21) Mystery Drive, a House	(29,21) Upper Panacea, a Lake	(30,21) Upper Panacea, a Lake	(31,21) The Quickway, a Bridge	(32,21) Upper Panacea, a Lake	(33,21) Choral Forest Fire Station, a Fire Station	(33,21) Choral Forest Ranger Station, a Ranger Station	(35,21) Choral Forest, a Forest	(36,21) Choral Forest, a Forest	(37,21) Choral Forest, a Forest	(38,21) Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(42, 20) Hackmatack Grove, a Forest	(42, 21) Hackmatack Grove, a Forest	(43, 21) Castle Catvom, a Castle	(44, 21) Hackmatack Grove, a Forest	(45, 21) Grandmaster Cabin, a Lodge	(46, 21) Hackmatack Grove, a Forest	(47, 21) The Montpellier, a Lodge	(48, 21) Hackmatack Grove, a Forest	(49, 21) Varpalota, a Lodge	Lake	(51, 21) The Quickway, a Bridge	Lake	Lake	a House	Bank	a House	(57, 21) Cropland, a Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall												
																						Biodome, a Biodome Wall	(24,22) Cropland, a Cropland	(25,22) Clydonia Corner, a House	(26,22) Baranowski Avenue, a House	(27,22) Morrish Row, an Apartment Building	(28,22) Payne Medical Manufacturing Warehouse, a Warehouse	(29,22) Payne Medical Manufacturing, a Factory	(30,22) The Quickway, a Bridge	(31,22) Upper Panacea, a Lake	(32,22) Upper Panacea, a Lake	(33,22) Upper Panacea, a Lake	(34,22) 🅿️ inside (to Outer Centrum 34, 23) Choral Forest Hydropower, a Power Plant	(35,22) Choral Forest, a Forest	(36,22) Choral Forest, a Forest	(37,22) Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	(41, 22) Midfield Barn, a Barn	(42, 22) Hackmatack Grove, a Forest	(43, 22) Hackmatack Grove, a Forest	(44, 22) Hackmatack Grove, a Forest	(45, 22) Hackmatack Grove, a Forest	(46, 22) Rosemere Lodge, a Lodge	(47, 22) Hackmatack Grove, a Forest	(48,22) The Santos, a Lodge	Lake	Lake	Lake	The Quickway, a Bridge	(53, 22) Stagg Heights Hydropower, a Power Plant 🅿️ (to Outer Centrum)	a House	a House	Apartment Building	(57, 22) Expedient Drugs, a Pharmacy	(58, 21) Cropland, a Cropland	Biodome, a Biodome Wall												
																					(22, 23) Biodome, a Biodome Wall	Biodome, a Biodome Wall	(24,23) Cropland, a Cropland	(25,23) Turner Vale Lane, a House	(26,23) Morrish Row, an Apartment Building	(27,23) Morrish Row, an Apartment Building	(28,23) Payne Medical Manufacturing Warehouse, a Warehouse	(29,23) Levey R&D, an Office Building	(30,23) On Parr Hatchery Storage and Distribution, a Warehouse	(31,23)  🅿️ inside (to Outer Centrum 31, 22) Merrior Hydropower, a Power Plant	(32,23) Upper Panacea, a Lake	(33,23) Upper Panacea, a Lake	(34,23) Upper Panacea, a Lake	(35,23) Choral Forest, a Forest	(36,23) Choral Forest, a Forest	Inner Greenway, a Park	Vorderman Barn, a Barn	Pleasant Farm, a Field	Pleasant Farm, a Field	Pleasant Farm, a Field	(42, 23) Frizzle Barn, a Barn	(43, 23) The Pleasant Peasant, a Brewery	(44, 23) Hackmatack Grove, a Forest	(45, 23) Sheridan Lodge, a Lodge	(46, 23) Hackmatack Grove, a Forest	(47, 23) Ayache Lodge, a Lodge	Lake	Lake	Lake	(51, 23) Tau Rho Omicron, a Mansion	(52, 23) Bluffview Flats, an Apartment Building	(53, 23) Stagg Hunt Estates, an Apartment Building	(54, 23) Morse Trail, a House	(55, 23) Booker Dorms, a Dormitory	Apartment Building	a House	Mountain	Biodome, a Biodome Wall	Biodome, a Biodome Wall											
							Biodome, a Biodome Wall	Biodome, a Biodome Wall	(10,24), Airlock	(11,24), Airlock	(12,24), Airlock	Biodome, a Biodome Wall	Biodome, a Biodome Wall								(22, 24) Biodome, a Biodome Wall	(23,24) Cropland, a Cropland	(24,24) Quince Corner, a House	(25,24) Kale Way, a House	(26,24) Morrish Row, an Apartment Building	(27,24) Shiloh Medical Center, a Hospital	(28,24) Payne Medical Manufacturing Warehouse, a Warehouse	(29,24) Dorsal Designs, an Office Building	(30,24) On Parr Hatchery Storage and Distribution, a Warehouse	(31,24) On Parr Hatchery, a Hatchery	(32,24) Captain Smolty's, a Restaurant	(33,24) Upper Panacea, a Lake	(34,24) Upper Panacea, a Lake	(35,24) Senaca Bridge, a Bridge	(36, 24) Inner Greenway, a Park	(37, 24) Inner Greenway, a Park	(38, 24) Inner Greenway, a Park	(39, 24) Wan Shi Tong's Library, a Library	The Protagoras, a Museum	Pleasant Farm, a Field	(42, 24) Pleasant Farm Greenhouses, a Greenhouse	(43, 24) Pleasant Farm Greenhouses, a Greenhouse	(44, 24) Inner Greenway, a Park	(45, 24) Inner Greenway, a Park	(46, 24) Inner Greenway, a Park	(47, 24) Dendrite Bridge, a Bridge	Lake	Lake	(50,24) Armaments Manufacturing, a Gun Store	(51, 24) Impact Park, a Park	(52, 24) Impact Park Row, a Townhouse	(53, 24) Central Supply Depot, a Warehouse	(54, 24) Gravitic Engineering, an University	(55, 24) Tau Sigma Omicron, a Mansion	Apartment Building	Mansion	Mountain	Mountain	Biodome, a Biodome Wall											
					Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(9,25) Orchard, an Orchard	(10,25) Overflow Storage, a Warehouse	(11,25) The Quickway, a Bridge	(12,25) Central Shipping, a Warehouse	(13,25) Orchard, an Orchard	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall						(22, 25) Biodome, a Biodome Wall	(23,25) Cropland, a Cropland	(23,25) Mallash Boulevard, a House	(25,25) Hilltop Quickstop, a Corner Store	(26,25) Samhita Center, a School	(27,25) Shiloh Medical Center, a Hospital	(28,25) Merrior General Parning, a Parking Garage	(29,25) Grumman Environmental, an Office Building	(30,25) Cordillera Water and Sewer Storage, a Warehouse	(31,25) Cordillera Water and Sewer Storage, a Warehouse	(32,25) Worcester Marine, LLC, an Office Building	(33,25) Darwin's, a Bait Shop	(34,25) Senaca Bridge, a Bridge	(35, 25) Upper Panacea, a Lake	(36, 25) Upper Panacea, a Lake	(37, 25) Upper Panacea, a Lake	(38, 25) Inner Greenway, a Park	Inner Greenway, a Park	Inner Greenway, a Park	41, 25 - Pleasantries, a Restaurant	(42, 25) Inner Greenway, a Park	(43, 25) Inner Greenway, a Park	(44, 25) Inner Greenway, a Park	Lake	Lake	Lake	(48,25) Dendrite Bridge, a Bridge	(49, 25) Crate Outdoors, a Sporting Goods Store	(50, 25) Administration, an Office Building	(51,25) Stagg Heights, a Mountain	(52,25) Stagg Heights, a Mountain	(53, 25) Central Supply Depot, a Warehouse	(54, 25) Water Engineering, an University	(55, 25) Omicron Sigma, a Mansion	Apartment Building	Apartment Building	a House	Field	Biodome, a Biodome Wall											
				Biodome, a Biodome Wall	Biodome, a Biodome Wall	(7,26) Schrödinger's Greenhouse, a Greenhouse	(8,26) Cropland, a Cropland	(9,26) Cropland, a Cropland	(10,26) Central Processing, a Factory	(11,26) The Quickway, a Bridge	(12,26) Sector Security, a Police Station	(13,26) Cropland, a Cropland	(14,26) Cropland, a Cropland	(15,26) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall				(21, 26) Biodome, a Biodome Wall	(22, 26) Biodome, a Biodome Wall	(23, 26) Grassland, a Grassland	(24, 26) Crimson Lane, a House	(25,26) Percy Hill Apartments, an Apartment Building	(26,26) Grizer, an Office Building	(27,26) Hygieia's, a Pharmacy	(28,26) Trichocoma, an Office Building	(29,26) Water Treatment Pond, a Pond	(30, 26) Cordillera Water and Sewer, a Water Treatment Plant	(31, 26) Sibthorp Hydroponic Solutions, an Office Building	(32, 26) Gold Star Arms, a Gun Store	Best Value Comfort Inn, a Hotel	Midden Park, a Park	Lake	(36,26) Larry's Dream, a Yacht	(37, 26) Upper Panacea, a Lake	(38, 26) Upper Panacea, a Lake	(39, 26) Inner Greenway Beach, a Beach	(40, 26) Inner Greenway, a Park	(41, 26) Inner Greenway, a Park	(42, 26) Inner Greenway, a Park	(43, 26) Inner Greenway Beach, a Beach	Lake	Lake	Lake	Lake	(48, 26) Roseway Park, a Park	(49, 26) Nanotel, a Hotel	(50, 26) Applied Physics, an University	(51, 26) Industrial Automation, a Factory	(52,26) Stagg Heights, a Mountain	(53, 26) Mechanical Prototyping, a Factory	(54, 26) Mechanical Engineering, an University	(55, 26) Hugo Dorms, a Dormitory	(56, 26) Student Housing Union, an Apartment Building	(57, 26) Saint Brandon's, a Church	(58, 26) The Convenient Corner, a Corner Store	(59, 26) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall										
				Biodome, a Biodome Wall	(6,27) Equipment Site Theta, a Barn	(7,27) Cropland, a Cropland	(8,27) Cropland, a Cropland	(9,27) Food Leopard, a Corner Store	(10,27) Puffer Street Apartments, an Apartment Building	(11,27) The Quickway, a Bridge	(12,27) Auxiliary Dome Geoelectric, a Power Plant	(13,27) Cropland, a Cropland	(14,27) Cropland, a Cropland	(15,27) Field, a Field	(16,27) Field, a Field	Biodome, a Biodome Wall				(21, 27) Biodome, a Biodome Wall	(22, 27) Grassland, a Grassland	(23, 27) Percy Junkyard, a Junkyard	(24, 27) Percy Hill Apartments, an Apartment Building	(25, 27) Percy Hill Apartments, an Apartment Building	(26, 27) Oreaster Hills, an Apartment Building	(27, 27) Brotherhood Metal & Plastic, an Office Building	(28, 27) The Onnara, an Apartment Building	(29,27) Water Treatment Pond, a Pond	(30, 27) Cordillera Water and Sewer, a Water Treatment Plant	(31, 27) Perera Hydro Partners, an Office Building	(32, 27) Quick Park, a Gravel Parking Lot	(33, 27) Top Fin Packing and Distribution, a Warehouse	Midden Park, a Park	Lake	Lake	Lake	Lake	(39, 27) First Mate's Pass, a Bridge	(40, 27) Inner Greenway Beach, a Beach	(41, 27) Inner Greenway Beach, a Beach	(42, 27) Chaplin Gardens Lighthouse, a Lighthouse	(43, 27) The Mazaro Span, a Bridge	Lake	Lake	Lake	Lake	(48, 27) Roseway Park, a Park	(49, 27) Buffalo Coffee, a Coffee Shop	(50, 27) Civil Engineering, an University	(51, 27) Industrial Automation, an University	(52, 27) Stagg Heights Park, a Forest	(53, 27) Extension Center, an Office Building	(54, 27) Fuller Food Court, a Dining Hall	(55, 27) Newberry Dorms, a Dormitory	(56, 27) Caldecott Dorms, a Dormitory	(57, 27) Energy Stop, a Gas Station	(58, 27) The Fairway, an Apartment Building	(59, 27) Wadi Way, a House	(60, 27) Cropland, a Cropland	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	Biodome, a Biodome Wall	(6,28) Field, a Field	(7,28) Orchard, an Orchard	(8,28) Orchard, an Orchard	(9,28) Prentiss Flats, an Apartment Building	(10,28) Everston Suites, an Apartment Building	(11,28) The Quickway, a Bridge	(12,28) Block E Apartments, an Apartment Building	(13,28) Orchard, an Orchard	(14,28) Orchard, an Orchard	(15,28) Field, a Field	(16,28) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall			Biodome, a Biodome Wall	(22, 28) Grassland, a Grassland	(23, 28) Percy Junkyard, a Junkyard	(24, 28) Prost Bar, a Bar	(25, 28) Percy Hill Apartments, an Apartment Building	(26, 28) Three Chasing Arrows, an Office Building	(27, 28) Rooms at the Utley, an Apartment Building	(28, 28) Reclamation Renegades, an Office Building	(29, 28) Detritus Park, a Park	(30, 28) Cordillera Water and Sewer Equipment Depot, a Warehouse	(31, 28) B&L Investments, a Bank	(32, 28) Gills Diner, a Restaurant	(33, 28) Top Fin Packing and Distribution, a Warehouse	(34, 28) Midden Park, a Park	(35, 28) Midden Park, a Park	Lake	Lake	(38, 28) First Mate's Pass, a Bridge	Lake	Lake	Lake	Lake	Lake	(44, 26) The Mazaro Span, a Bridge	Lake	Lake	(47, 28) Roseway Park, a Park	(48, 28) Roseway Park, a Park	(49, 28) Lumber Support, a Hardware Store	(50, 28) Conklin Dorms, an Apartment Building	(51, 28) Belmont Response Brigade, a Fire Station	Mountain	Mountain	a Park	Amphitheatre	(56, 28) Center for the Written Word, an University	(57, 28) Alexandrina Manuscript Collection, a Library	(58, 28) River Street, a House	(59, 28) Creek Avenue, a House	(60, 28) Apple Orchard, an Apple Orchard	Biodome, a Biodome Wall										
